"","Year","Region","Population","phos.cwt","pnob.cwt","pni.cwt","phos.thermal","pnob.thermal","pni.thermal"
"351",2015,"SBC","Toquart River",NA,NA,NA,0.07,0.93,0.93
"352",2017,"SBC","Bedwell River",NA,NA,NA,0.09,0.91,0.91
"353",2007,"SBC","Nanaimo River - summer",NA,NA,NA,0.12,0.88,0.88
"354",2009,"SBC","Gold River",NA,NA,NA,0.14,0.86,0.86
"355",2016,"SBC","Gold River",NA,NA,NA,0.86,0.14,0.86
"356",2008,"SBC","Salmon River (JSN)",NA,NA,NA,0.14,0.86,0.86
"357",2009,"SBC","Salmon River (JSN)",NA,NA,NA,0.14,0.86,0.86
"358",2010,"SBC","Tahsis River",NA,NA,NA,0.14,0.86,0.86
"359",2017,"SBC","Salmon River (TOMF)",NA,NA,NA,0.17,0.83,0.83
"360",2015,"SBC","Nanaimo River - summer",NA,NA,NA,0.18,0.82,0.82
"361",2006,"SBC","Tahsis River",NA,NA,NA,0.18,0.82,0.82
"362",2017,"SBC","Nanaimo River - summer",NA,NA,NA,0.19,0.81,0.81
"363",2015,"SBC","Bedwell River",0.4,0.6,0.6,0.2,0.8,0.8
"364",2012,"SBC","Sooke River",NA,NA,NA,0.2,0.8,0.8
"365",2014,"SBC","Leiner River",NA,NA,NA,0.23,0.77,0.77
"366",2014,"SBC","Salmon River (JSN)",NA,NA,NA,0.24,0.76,0.76
"367",2016,"SBC","Nanaimo River - summer",NA,NA,NA,0.25,0.75,0.75
"368",2016,"SBC","Bedwell River",NA,NA,NA,0.25,0.75,0.75
"369",2015,"SBC","Gold River",NA,NA,NA,0.74,0.26,0.74
"370",2017,"SBC","Leiner River",NA,NA,NA,0.74,0.26,0.74
"371",2005,"SBC","Sooke River",NA,NA,NA,0.26,0.74,0.74
"372",2009,"SBC","Nanaimo River - summer",NA,NA,NA,0.27,0.73,0.73
"373",2017,"SBC","Coldwater River",NA,NA,NA,0.29,0.71,0.71
"374",2017,"SBC","Gold River",NA,NA,NA,0.71,0.29,0.71
"375",2008,"SBC","Nanaimo River - summer",NA,NA,NA,0.3,0.7,0.7
"376",2017,"SBC","Salmon River (JSN)",NA,NA,NA,0.3,0.7,0.7
"377",2016,"SBC","Coldwater River",NA,NA,NA,0.31,0.69,0.69
"378",2010,"SBC","Salmon River (JSN)",NA,NA,NA,0.31,0.69,0.69
"379",2019,"SBC","Bedwell River",NA,NA,NA,0.32,0.68,0.68
"380",2012,"SBC","Salmon River (JSN)",NA,NA,NA,0.34,0.66,0.66
"381",2015,"SBC","Salmon River (TOMF)",NA,NA,NA,0.37,0.63,0.63
"382",2018,"SBC","Nanaimo River - summer",NA,NA,NA,0.39,0.61,0.61
"383",2018,"SBC","Nimpkish River",NA,NA,NA,0.39,0.61,0.61
"384",2009,"SBC","Leiner River",NA,NA,NA,0.4,0.6,0.6
"385",2010,"SBC","Nanaimo River - summer",NA,NA,NA,0.44,0.56,0.56
"386",2006,"SBC","Sooke River",NA,NA,NA,0.44,0.56,0.56
"387",2008,"SBC","Sooke River",NA,NA,NA,0.44,0.56,0.56
"388",2011,"SBC","Nanaimo River - summer",NA,NA,NA,0.48,0.52,0.52
"389",2014,"SBC","Nanaimo River - summer",NA,NA,NA,0.48,0.52,0.52
"390",2017,"SBC","Spius Creek",NA,NA,NA,0.49,0.51,0.51
"391",2013,"SBC","Leiner River",NA,NA,NA,0.5,0.5,0.5
"392",2007,"SBC","Nanaimo River - fall",0.18,0.51,0.739130435,0.51,0.49,0.49
"393",2004,"SBC","Gold River",NA,NA,NA,0.52,0.48,0.48
"394",2012,"SBC","Nanaimo River - summer",NA,NA,NA,0.54,0.46,0.46
"395",2016,"SBC","Salmon River (TOMF)",NA,NA,NA,0.58,0.42,0.42
"396",2017,"SBC","Tahsis River",NA,NA,NA,0.58,0.42,0.42
"397",2017,"SBC","San Juan River",0.05,0.91,0.947916667,0.59,0.41,0.41
"398",2018,"SBC","Nanaimo River - fall",NA,NA,NA,0.59,0.41,0.41
"399",2009,"SBC","Englishman River",NA,NA,NA,0.4,0.6,0.4
"400",2016,"SBC","Nanaimo River - fall",NA,NA,NA,0.6,0.4,0.4
"401",2004,"SBC","Sucwoa River",NA,NA,NA,0.6,0.4,0.4
"402",2015,"SBC","Tahsis River",NA,NA,NA,0.6,0.4,0.4
"403",2008,"SBC","Nanaimo River - fall",0.17,0.78,0.821052632,0.61,0.39,0.39
"404",2015,"SBC","Nanaimo River - fall",NA,NA,NA,0.62,0.38,0.38
"405",2015,"SBC","Leiner River",NA,NA,NA,0.63,0.37,0.37
"406",2011,"SBC","Sooke River",NA,NA,NA,0.63,0.37,0.37
"407",2017,"SBC","Nanaimo River - fall",NA,NA,NA,0.68,0.32,0.32
"408",2013,"SBC","Gold River",NA,NA,NA,0.7,0.3,0.3
"409",2014,"SBC","Gold River",NA,NA,NA,0.7,0.3,0.3
"410",2012,"SBC","Nanaimo River - fall",NA,NA,NA,0.7,0.3,0.3
"411",2012,"SBC","Gold River",NA,NA,NA,0.71,0.29,0.29
"412",2005,"SBC","Sucwoa River",NA,NA,NA,0.71,0.29,0.29
"413",2004,"SBC","San Juan River",NA,NA,NA,0.67,0.27,0.287234043
"414",2016,"SBC","Spius Creek",NA,NA,NA,0.72,0.28,0.28
"415",2008,"SBC","Englishman River",NA,NA,NA,0.27,0.73,0.27
"416",2016,"SBC","Tahsis River",NA,NA,NA,0.73,0.27,0.27
"417",2015,"SBC","Sooke River",NA,NA,NA,0.74,0.26,0.26
"418",2017,"SBC","Sooke River",NA,NA,NA,0.74,0.26,0.26
"419",2013,"SBC","Tahsis River",NA,NA,NA,0.75,0.25,0.25
"420",2013,"SBC","Nanaimo River - summer",NA,NA,NA,0.77,0.23,0.23
"421",2000,"SBC","Sarita River",NA,NA,NA,0.76,0.22,0.224489796
"422",2009,"SBC","Sarita River",NA,NA,NA,0.78,0.22,0.22
"423",2014,"SBC","Nanaimo River - fall",NA,NA,NA,0.79,0.21,0.21
"424",2008,"SBC","Tahsis River",NA,NA,NA,0.79,0.21,0.21
"425",1999,"SBC","Sarita River",0.76,0.24,0.24,0.8,0.2,0.2
"426",2012,"SBC","Leiner River",NA,NA,NA,0.81,0.19,0.19
"427",2016,"SBC","Leiner River",NA,NA,NA,0.81,0.19,0.19
"428",2016,"SBC","Sooke River",NA,NA,NA,0.81,0.19,0.19
"429",1998,"SBC","Sarita River",0.69,0.31,0.31,0.81,0.18,0.181818182
"430",2012,"SBC","Sarita River",0.08,0.92,0.92,0.82,0.18,0.18
"431",2010,"SBC","Nanaimo River - fall",NA,NA,NA,0.82,0.18,0.18
"432",2015,"SBC","San Juan River",NA,NA,NA,0.82,0.18,0.18
"433",2009,"SBC","Tahsis River",NA,NA,NA,0.82,0.18,0.18
"434",2012,"SBC","Sucwoa River",NA,NA,NA,0.83,0.17,0.17
"435",1997,"SBC","Sarita River",0.17,0.83,0.83,0.84,0.16,0.16
"436",2011,"SBC","Nanaimo River - fall",NA,NA,NA,0.84,0.16,0.16
"437",2013,"SBC","Nanaimo River - fall",NA,NA,NA,0.85,0.15,0.15
"438",2017,"SBC","Sarita River",NA,NA,NA,0.85,0.15,0.15
"439",2009,"SBC","Nanaimo River - fall",NA,NA,NA,0.86,0.14,0.14
"440",2015,"SBC","Sarita River",NA,NA,NA,0.86,0.14,0.14
"441",2001,"SBC","Sarita River",NA,NA,NA,0.87,0.13,0.13
"442",2002,"SBC","Sarita River",0.86,0.14,0.14,0.88,0.12,0.12
"443",2008,"SBC","Sarita River",NA,NA,NA,0.88,0.12,0.12
"444",2014,"SBC","Sooke River",NA,NA,NA,0.88,0.12,0.12
"445",2004,"SBC","Sarita River",0.37,0.63,0.63,0.89,0.11,0.11
"446",2011,"SBC","Gold River",NA,NA,NA,0.9,0.1,0.1
"447",2005,"SBC","Sarita River",NA,NA,NA,0.9,0.1,0.1
"448",2016,"SBC","Sarita River",NA,NA,NA,0.9,0.1,0.1
"449",2014,"SBC","San Juan River",NA,NA,NA,0.91,0.09,0.09
"450",2003,"SBC","Sarita River",0.64,0.36,0.36,0.91,0.09,0.09
"451",2010,"SBC","Sarita River",NA,NA,NA,0.91,0.09,0.09
"452",2011,"SBC","Sarita River",0.13,0.87,0.87,0.92,0.08,0.08
"453",2006,"SBC","Sarita River",NA,NA,NA,0.93,0.07,0.07
"454",2010,"SBC","Sucwoa River",NA,NA,NA,0.94,0.06,0.06
"455",2007,"SBC","Sarita River",NA,NA,NA,0.97,0.03,0.03
"456",2002,"SBC","Sucwoa River",NA,NA,NA,1,0,0
"457",1996,"SBC","Sarita River",1,0,0,NA,NA,NA
"458",2013,"SBC","Sarita River",0.25,0.76,0.752475248,NA,NA,NA
"459",2014,"SBC","Sarita River",0.07,0.93,0.93,NA,NA,NA
"460",2018,"SBC","Sarita River",0,0.93,1,NA,NA,NA
"461",2013,"SBC","Shovelnose Creek",NA,NA,NA,NA,NA,NA
"462",2014,"SBC","Shovelnose Creek",NA,NA,NA,NA,NA,NA
"463",2015,"SBC","Shovelnose Creek",NA,NA,NA,NA,NA,NA
