Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type, Target # to Mark ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
2020,BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Fed Fry,Deadman R,,29F,9000,,,,,,,
2020,BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Smolt 1+,Deadman R,,29F,19000,,,,,,,
2020,BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Fry,Thompson R N,,,10000,,,,,,"Fish in excess of 20,000 will be released as fry in Deadman River based on Habitat Capacity calculations",
2020,BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Smolt,Thompson R N,,,20000,,,,,,,
2020,BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,"30,000",Transfer Out,Egg,Thompson R N,,,30000,,,,,,"Brood collected at Deadman and transported to Dunn Cr for spawning. 30K eggs reared at Dunn. 20K smolt and 10K fry transferred back to Deadman, acclimatized and released.",
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Egg,Deadman R,,,30000,,,,,,"Brood captured at Deadman River, then transported to Dunn Creek for rearing.  Then transported back to Deadman Facility for acclimitization before release.",
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer Out,Fry,Deadman R,,,10000,,,,,,,
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer Out,Smolt,Deadman R,,,20000,,,,,,Deadman smolts reared at Dunn Creek Hatchery returning to Deadman for imprinting ponds for 2 weeks before being released.,
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Stewardship ,Primary, -   ,Release,Smolt 1+,Dunn Cr,,29J,30000,,,,,,"As of 2015, escapement estimates indicate habitat capacity in Dunn Creek and lake are fully seeded by naturally produced juveniles, so target will not be raised.",
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,,Primary,"35,000",Transfer Out,Egg,Kamloops Sch,,,4800,,,,,,,
2020,BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,,Primary, -   ,Transfer Out,Egg,Pr George (Mackenzie) Sch,,,80,,,,,,2019- approved in-season change. Alternate broodstock source to chinook in response to big bar slide impacts on Quesnel chinook availability.,
